athleteID,athleteName,NOC,Year,eventID
1,Ioannis Andreou,GRE,1896,603
2,Nikolaos Andriakopoulos,GRE,1896,370
3,Edward Battel,GBR,1896,269
4,Arthur Charles Blake,USA,1896,65
5,Conrad Helmut Fritz Bcker,GER,1896,367
6,Conrad Helmut Fritz Bcker,GER,1896,360
7,John Mary Pius Boland,GBR,1896,675
8,John Mary Pius Boland,GBR,1896,673
9,Thomas Edmund Tom Burke,USA,1896,70
10,Thomas Edmund Tom Burke,USA,1896,87
11,Eugne Henri Callot,FRA,1896,316
12,Demetrius Emmanuel Casdagli,GRE,1896,675
13,Demetrius Emmanuel Casdagli,GRE,1896,673
14,Ellery Harding Clark,USA,1896,104
15,Ellery Harding Clark,USA,1896,108
16,James Brendan Bennet Connolly,USA,1896,104
17,James Brendan Bennet Connolly,USA,1896,108
18,James Brendan Bennet Connolly,USA,1896,117
19,Thomas Pelham Tom Curtis,USA,1896,71
20,Evangelos Damaskos,GRE,1896,111
21,Nndor Dni,HUN,1896,95
22,Nikolaos Dorakis,GRE,1896,508
23,Dimitrios Drivas,GRE,1896,611
24,Launceston Elliot,GBR,1896,703
25,Launceston Elliot,GBR,1896,704
26,Edwin Harold Teddy Flack,AUS,1896,673
27,Edwin Harold Teddy Flack,AUS,1896,95
28,Edwin Harold Teddy Flack,AUS,1896,65
29,Marie Lon Flameng,FRA,1896,271
30,Marie Lon Flameng,FRA,1896,249
31,Marie Lon Flameng,FRA,1896,250
32,Alfred Flatow,GER,1896,366
33,Alfred Flatow,GER,1896,367
34,Alfred Flatow,GER,1896,359
35,Alfred Flatow,GER,1896,360
36,Gustav Felix Flatow,GER,1896,367
37,Gustav Felix Flatow,GER,1896,360
38,Ioannis Frangoudis,GRE,1896,495
39,Ioannis Frangoudis,GRE,1896,523
40,Ioannis Frangoudis,GRE,1896,506
41,Robert Bob Garrett,USA,1896,104
42,Robert Bob Garrett,USA,1896,108
43,Robert Bob Garrett,USA,1896,112
44,Robert Bob Garrett,USA,1896,100
45,Ioannis Georgiadis,GRE,1896,319
46,Charles Henry Stuart Gmelin,GBR,1896,87
47,Anton Gdrich,GER,1896,269
48,Dimitrios P. Golemis,GRE,1896,95
49,Grantley Thomas Smart Goulding,GBR,1896,71
50,Miltiadis Gouskos,GRE,1896,112
51,Eugne Henry Gravelotte,FRA,1896,316
52,Alfrd (Arnold-) Hajs (Guttmann-),HUN,1896,610
53,Alfrd (Arnold-) Hajs (Guttmann-),HUN,1896,603
54,Otto Herschmann,AUT,1896,610
55,Georg Otto Hilmar,GER,1896,367
56,Georg Otto Hilmar,GER,1896,360
57,Fritz Hofmann,GER,1896,70
58,Fritz Hofmann,GER,1896,370
59,William Welles Bill Hoyt,USA,1896,111
60,Herbert Brotherson Jamison,USA,1896,87
61,Alexander Viggo Jensen,DEN,1896,703
62,Alexander Viggo Jensen,DEN,1896,704
63,Alexander Viggo Jensen,DEN,1896,506
64,Tilemakhos Karakalos,GRE,1896,319
65,Pantelis Karasevdas,GRE,1896,511
66,Filippos Karvelas,GRE,1896,367
67,Frederick Keeping,GBR,1896,252
68,Gyula Kellner,HUN,1896,109
69,Spyridon P. Spyros Khazapis,GRE,1896,611
70,Efstathios Khorafas,GRE,1896,633
71,Stefanos Khristopoulos,GRE,1896,732
72,Georgios Koletis,GRE,1896,250
73,Aristidis Konstantinidis,GRE,1896,269
74,Francis Adonijah Frank Lane,USA,1896,70
75,Albin Georges Lermusiaux,FRA,1896,65
76,Spyridon Spyros Louis,GRE,1896,109
77,Dimitrios Loundras,GRE,1896,367
78,Ioannis Malokinis,GRE,1896,611
79,Julius Carl Fritz Manteuffel,GER,1896,367
80,Julius Carl Fritz Manteuffel,GER,1896,360
81,Paul Michel Pierre Adrien Masson (-Nossam),FRA,1896,271
82,Paul Michel Pierre Adrien Masson (-Nossam),FRA,1896,257
83,Paul Michel Pierre Adrien Masson (-Nossam),FRA,1896,249
84,Ioannis Mitropoulos,GRE,1896,369
85,Karl Neukirch,GER,1896,367
86,Karl Neukirch,GER,1896,360
87,Paul Neumann (-Newman),AUT,1896,633
88,Holger Louis Nielsen,DEN,1896,495
89,Holger Louis Nielsen,DEN,1896,319
90,Holger Louis Nielsen,DEN,1896,523
91,Alexandros Nikolopoulos,GRE,1896,703
92,Stamatios Nikolopoulos,GRE,1896,271
93,Stamatios Nikolopoulos,GRE,1896,257
94,Georgios D. Orfanidis,GRE,1896,523
95,Georgios D. Orfanidis,GRE,1896,506
96,John Bryant Paine,USA,1896,508
97,Sumner Paine,USA,1896,495
98,Sumner Paine,USA,1896,508
99,Georgios Saranti Papasideris,GRE,1896,112
100,Panagiotis Paraskevopoulos,GRE,1896,100
101,Khios Konstantinos Paspatis,GRE,1896,675
102,Pavlos Pavlidis,GRE,1896,511
103,Antonios Pepanos,GRE,1896,633
104,Joanni Maurice Perronet,FRA,1896,317
105,Ioannis Persakis,GRE,1896,117
106,Petros Persakis,GRE,1896,369
107,Dimitrios Stephen Petrokokkinos,GRE,1896,673
108,Periklis Pierrakos-Mavromikhalis,GRE,1896,316
109,Leonidas Leon Pyrgos,GRE,1896,317
110,George Stuart Robertson,GBR,1896,673
111,Richard Rstel,GER,1896,367
112,Richard Rstel,GER,1896,360
113,Felix Adolf Schmal,AUT,1896,257
114,Felix Adolf Schmal,AUT,1896,249
115,Felix Adolf Schmal,AUT,1896,252
116,Fritz Richard Gustav Schuft,GER,1896,367
117,Fritz Richard Gustav Schuft,GER,1896,360
