athleteID,eventID,medal,year
1,603,Silver,1896
2,370,Gold,1896
3,269,Bronze,1896
4,65,Silver,1896
5,367,Gold,1896
6,360,Gold,1896
7,675,Gold,1896
8,673,Gold,1896
9,70,Gold,1896
10,87,Gold,1896
11,316,Silver,1896
12,675,Silver,1896
13,673,Silver,1896
14,104,Gold,1896
15,108,Gold,1896
16,104,Silver,1896
17,108,Bronze,1896
18,117,Gold,1896
19,71,Gold,1896
20,111,Bronze,1896
21,95,Silver,1896
22,508,Bronze,1896
23,611,Bronze,1896
24,703,Gold,1896
25,704,Silver,1896
26,673,Bronze,1896
27,95,Gold,1896
28,65,Gold,1896
29,271,Bronze,1896
30,249,Silver,1896
31,250,Gold,1896
32,366,Gold,1896
33,367,Gold,1896
34,359,Silver,1896
35,360,Gold,1896
36,367,Gold,1896
37,360,Gold,1896
38,495,Bronze,1896
39,523,Gold,1896
40,506,Silver,1896
41,104,Silver,1896
42,108,Silver,1896
43,112,Gold,1896
44,100,Gold,1896
45,319,Gold,1896
46,87,Bronze,1896
47,269,Silver,1896
48,95,Bronze,1896
49,71,Silver,1896
50,112,Silver,1896
51,316,Gold,1896
52,610,Gold,1896
53,603,Gold,1896
54,610,Silver,1896
55,367,Gold,1896
56,360,Gold,1896
57,70,Silver,1896
58,370,Bronze,1896
59,111,Gold,1896
60,87,Silver,1896
61,703,Silver,1896
62,704,Gold,1896
63,506,Bronze,1896
64,319,Silver,1896
65,511,Gold,1896
66,367,Bronze,1896
67,252,Silver,1896
68,109,Bronze,1896
69,611,Silver,1896
70,633,Bronze,1896
71,732,Bronze,1896
72,250,Silver,1896
73,269,Gold,1896
74,70,Bronze,1896
75,65,Bronze,1896
76,109,Gold,1896
77,367,Bronze,1896
78,611,Gold,1896
79,367,Gold,1896
80,360,Gold,1896
81,271,Gold,1896
82,257,Gold,1896
83,249,Gold,1896
84,369,Gold,1896
85,367,Gold,1896
86,360,Gold,1896
87,633,Gold,1896
88,495,Silver,1896
89,319,Bronze,1896
90,523,Bronze,1896
91,703,Bronze,1896
92,271,Silver,1896
93,257,Silver,1896
94,523,Silver,1896
95,506,Gold,1896
96,508,Gold,1896
97,495,Gold,1896
98,508,Silver,1896
99,112,Bronze,1896
100,100,Silver,1896
101,675,Bronze,1896
102,511,Silver,1896
103,633,Silver,1896
104,317,Silver,1896
105,117,Bronze,1896
106,369,Bronze,1896
107,673,Silver,1896
108,316,Bronze,1896
109,317,Gold,1896
110,673,Bronze,1896
111,367,Gold,1896
112,360,Gold,1896
113,257,Bronze,1896
114,249,Bronze,1896
115,252,Gold,1896
116,367,Gold,1896
117,360,Gold,1896
118,361,Gold,1896
119,367,Gold,1896
120,732,Gold,1896
121,360,Gold,1896
122,70,Bronze,1896
123,675,Bronze,1896
124,111,Bronze,1896
125,673,Gold,1896
126,511,Bronze,1896
127,732,Silver,1896
128,117,Silver,1896
129,111,Silver,1896
130,109,Silver,1896
131,704,Bronze,1896
132,100,Bronze,1896
133,316,Bronze,1896
134,361,Bronze,1896
135,367,Gold,1896
136,359,Gold,1896
137,360,Gold,1896
138,369,Silver,1896
139,368,Silver,1896
140,370,Silver,1896
141,361,Silver,1896
142,366,Silver,1896
143,368,Gold,1896
144,686,Gold,1900
145,356,Gold,1900
146,429,Gold,1900
147,450,Gold,1900
148,450,Gold,1900
149,461,Silver,1900
150,461,Bronze,1900
151,342,Silver,1900
152,430,Bronze,1900
153,450,Silver,1900
154,111,Bronze,1900
155,215,Silver,1900
156,309,Silver,1900
157,440,Bronze,1900
158,215,Silver,1900
159,460,Gold,1900
160,217,Gold,1900
161,216,Gold,1900
162,325,Gold,1900
163,324,Gold,1900
164,342,Silver,1900
165,440,Gold,1900
166,362,Silver,1900
167,686,Silver,1900
168,255,Gold,1900
169,460,Silver,1900
170,460,Bronze,1900
171,461,Bronze,1900
172,461,Bronze,1900
173,100,Gold,1900
174,104,Gold,1900
175,114,Silver,1900
176,111,Gold,1900
177,115,Silver,1900
178,116,Silver,1900
179,450,Silver,1900
180,215,Gold,1900
181,65,Gold,1900
182,86,Silver,1900
183,91,Gold,1900
184,423,Gold,1900
185,619,Silver,1900
186,450,Silver,1900
187,463,Gold,1900
188,450,Gold,1900
189,215,Gold,1900
190,450,Silver,1900
191,466,Gold,1900
192,466,Gold,1900
193,342,Silver,1900
194,507,Gold,1900
195,497,Bronze,1900
196,430,Gold,1900
197,325,Silver,1900
198,316,Bronze,1900
199,497,Bronze,1900
200,215,Gold,1900
201,215,Silver,1900
202,433,Gold,1900
203,429,Bronze,1900
204,65,Bronze,1900
205,433,Gold,1900
206,430,Silver,1900
207,429,Bronze,1900
208,215,Silver,1900
209,429,Silver,1900
210,268,Gold,1900
211,342,Gold,1900
212,215,Gold,1900
213,423,Silver,1900
214,215,Gold,1900
215,689,Bronze,1900
216,342,Gold,1900
217,619,Silver,1900
218,459,Bronze,1900
219,467,Silver,1900
220,689,Bronze,1900
221,342,Silver,1900
222,450,Silver,1900
223,429,Gold,1900
224,430,Bronze,1900
225,91,Silver,1900
226,430,Gold,1900
227,507,Bronze,1900
228,342,Gold,1900
229,109,Silver,1900
230,91,Silver,1900
231,459,Silver,1900
232,459,Silver,1900
233,430,Gold,1900
234,72,Bronze,1900
235,91,Silver,1900
236,215,Gold,1900
237,545,Bronze,1900
238,689,Bronze,1900
239,689,Gold,1900
240,689,Silver,1900
241,111,Silver,1900
242,686,Silver,1900
243,450,Gold,1900
244,117,Silver,1900
245,320,Gold,1900
246,680,Gold,1900
247,677,Gold,1900
248,215,Gold,1900
249,316,Gold,1900
250,689,Bronze,1900
251,689,Gold,1900
252,95,Silver,1900
253,215,Gold,1900
254,478,Gold,1900
255,460,Gold,1900
256,423,Gold,1900
257,450,Silver,1900
258,255,Bronze,1900
259,153,Gold,1900
260,689,Silver,1900
261,545,Gold,1900
262,689,Silver,1900
263,429,Silver,1900
264,311,Bronze,1900
265,429,Silver,1900
266,466,Bronze,1900
267,673,Silver,1900
268,673,Bronze,1900
269,319,Gold,1900
270,423,Silver,1900
271,309,Bronze,1900
272,308,Bronze,1900
273,461,Gold,1900
274,461,Silver,1900
275,461,Gold,1900
276,461,Silver,1900
277,461,Gold,1900
278,461,Silver,1900
279,313,Bronze,1900
280,423,Bronze,1900
281,429,Silver,1900
282,429,Gold,1900
283,463,Silver,1900
284,673,Silver,1900
285,689,Bronze,1900
286,342,Bronze,1900
287,430,Gold,1900
288,65,Silver,1900
289,91,Silver,1900
290,433,Bronze,1900
291,362,Bronze,1900
292,637,Gold,1900
293,450,Silver,1900
294,675,Gold,1900
295,677,Bronze,1900
296,673,Gold,1900
297,675,Bronze,1900
298,677,Gold,1900
299,673,Gold,1900
300,215,Gold,1900
301,466,Bronze,1900
302,466,Silver,1900
303,466,Silver,1900
304,613,Bronze,1900
305,27,Silver,1900
306,468,Bronze,1900
307,468,Silver,1900
308,468,Bronze,1900
309,468,Silver,1900
310,461,Bronze,1900
311,268,Silver,1900
312,342,Silver,1900
313,497,Silver,1900
314,461,Silver,1900
315,461,Bronze,1900
316,423,Bronze,1900
317,423,Bronze,1900
318,423,Bronze,1900
319,114,Gold,1900
320,115,Gold,1900
321,116,Gold,1900
322,429,Gold,1900
323,466,Gold,1900
324,466,Gold,1900
325,689,Bronze,1900
326,109,Bronze,1900
327,430,Bronze,1900
328,689,Silver,1900
329,430,Bronze,1900
330,689,Bronze,1900
331,17,Bronze,1900
332,103,Gold,1900
333,319,Bronze,1900
334,323,Gold,1900
335,324,Silver,1900
336,27,Gold,1900
337,423,Bronze,1900
338,342,Silver,1900
339,423,Silver,1900
340,507,Silver,1900
341,342,Silver,1900
342,310,Gold,1900
343,342,Silver,1900
344,116,Bronze,1900
345,112,Bronze,1900
346,440,Silver,1900
347,450,Gold,1900
348,429,Gold,1900
349,689,Bronze,1900
350,459,Gold,1900
351,459,Bronze,1900
352,468,Gold,1900
353,423,Bronze,1900
354,450,Gold,1900
355,28,Bronze,1900
356,466,Silver,1900
357,466,Silver,1900
358,104,Bronze,1900
359,686,Silver,1900
360,450,Gold,1900
361,430,Gold,1900
362,430,Gold,1900
363,430,Gold,1900
364,342,Gold,1900
365,342,Silver,1900
366,689,Silver,1900
367,478,Gold,1900
368,460,Gold,1900
369,28,Gold,1900
370,507,Gold,1900
371,468,Bronze,1900
372,468,Silver,1900
373,468,Bronze,1900
374,468,Silver,1900
375,468,Bronze,1900
376,468,Silver,1900
377,545,Silver,1900
378,311,Gold,1900
379,619,Gold,1900
380,95,Bronze,1900
381,103,Silver,1900
382,342,Gold,1900
383,430,Gold,1900
384,429,Gold,1900
385,15,Silver,1900
386,429,Silver,1900
387,450,Gold,1900
388,686,Silver,1900
389,689,Gold,1900
390,450,Silver,1900
391,507,Silver,1900
392,17,Gold,1900
393,18,Gold,1900
394,450,Gold,1900
395,430,Silver,1900
396,255,Silver,1900
397,619,Silver,1900
398,619,Silver,1900
399,450,Silver,1900
400,87,Silver,1900
401,450,Silver,1900
402,468,Silver,1900
403,613,Gold,1900
404,619,Gold,1900
405,468,Gold,1900
406,463,Bronze,1900
407,215,Silver,1900
408,461,Silver,1900
409,461,Bronze,1900
410,342,Silver,1900
411,100,Silver,1900
412,70,Gold,1900
413,689,Gold,1900
414,602,Gold,1900
415,625,Gold,1900
416,466,Bronze,1900
417,468,Gold,1900
418,217,Silver,1900
419,216,Gold,1900
420,342,Gold,1900
421,680,Bronze,1900
422,677,Bronze,1900
423,215,Silver,1900
424,429,Gold,1900
425,430,Gold,1900
426,423,Gold,1900
427,342,Bronze,1900
428,506,Gold,1900
429,507,Gold,1900
430,502,Silver,1900
431,689,Gold,1900
432,618,Bronze,1900
433,317,Silver,1900
434,433,Gold,1900
435,429,Bronze,1900
