athleteID,age,sex,height,weight
1,,M,,
2,,M,,
3,,M,,
4,24,M,,
5,25,M,,
6,25,M,,
7,25,M,,
8,25,M,,
9,21,M,183,66
10,21,M,183,66
11,20,M,,
12,23,M,,
13,23,M,,
14,22,M,180,
15,22,M,180,
16,27,M,175,72
17,27,M,175,72
18,27,M,175,72
19,23,M,176,66
20,,M,,
21,24,M,,
22,,M,,
23,,M,,
24,21,M,188,102
25,21,M,188,102
26,22,M,,
27,22,M,,
28,22,M,,
29,18,M,,
30,18,M,,
31,18,M,,
32,26,M,,
33,26,M,,
34,26,M,,
35,26,M,,
36,21,M,,
37,21,M,,
38,,M,,
39,,M,,
40,,M,,
41,20,M,188,81
42,20,M,188,81
43,20,M,188,81
44,20,M,188,81
45,20,M,,
46,23,M,,
47,36,M,,
48,21,M,,
49,22,M,,
50,,M,,
51,20,M,,
52,18,M,,
53,18,M,,
54,19,M,,
55,19,M,,
56,19,M,,
57,24,M,167,56
58,24,M,167,56
59,20,M,,
60,20,M,173,69
61,21,M,,
62,21,M,,
63,21,M,,
64,,M,,
65,,M,,
66,,M,,
67,28,M,,
68,24,M,,
69,,M,,
70,,M,,
71,,M,,
72,,M,,
73,,M,,
74,21,M,170,69
75,21,M,,
76,23,M,,
77,10,M,,
78,,M,,
79,21,M,,62
80,21,M,,62
81,19,M,,
82,19,M,,
83,19,M,,
84,,M,,
85,31,M,,
86,31,M,,
87,20,M,,
88,29,M,,
89,29,M,,
90,29,M,,
91,,M,,
92,,M,,
93,,M,,
94,,M,,
95,,M,,
96,25,M,,
97,27,M,,
98,27,M,,
99,,M,,
100,,M,,
101,17,M,,
102,,M,,
103,,M,,
104,18,M,,
105,,M,,
106,,M,,
107,17,M,,
108,,M,,
109,,M,,
110,23,M,,
111,,M,,
112,,M,,
113,23,M,,
114,23,M,,
115,23,M,,
116,19,M,,
117,19,M,,
118,26,M,159,70
119,26,M,159,70
120,26,M,159,70
121,26,M,159,70
122,24,M,,
123,23,M,,
124,,M,,
125,20,M,,
126,,M,,
127,,M,,
128,19,M,,
129,24,M,,
130,,M,,
131,,M,,
132,,M,,
133,,M,,
134,31,M,,
135,31,M,,
136,31,M,,
137,31,M,,
138,31,M,,
139,31,M,,
140,21,M,,
141,30,M,,
142,30,M,,
143,30,M,,
144,34,M,,
145,23,F,,
146,15,M,,
147,20,M,,
148,,M,,
149,,M,,
150,,M,,
151,18,M,,
152,21,M,,
153,29,M,,
154,23,M,,
