eventID,sport,event,yearIntroduced,latestYear,season
1,Aeronautics,Aeronautics Mixed Aeronautics,1936,1936,S
2,Alpine Skiing,Alpine Skiing Mens Combined,1936,2014,W
3,Alpine Skiing,Alpine Skiing Mens Downhill,1948,2014,W
4,Alpine Skiing,Alpine Skiing Mens Giant Slalom,1952,2014,W
5,Alpine Skiing,Alpine Skiing Mens Slalom,1948,2014,W
6,Alpine Skiing,Alpine Skiing Mens Super G,1988,2014,W
7,Alpine Skiing,Alpine Skiing Womens Combined,1936,2014,W
8,Alpine Skiing,Alpine Skiing Womens Downhill,1948,2014,W
9,Alpine Skiing,Alpine Skiing Womens Giant Slalom,1952,2014,W
10,Alpine Skiing,Alpine Skiing Womens Slalom,1948,2014,W
11,Alpine Skiing,Alpine Skiing Womens Super G,1988,2014,W
12,Alpinism,Alpinism Mixed Alpinism,1924,1936,S
13,Alpinism,Alpinism Mixed Alpinism,1924,1936,W
14,Archery,Archery Mens Au Chapelet - 33 metres,1900,1900,S
15,Archery,Archery Mens Au Chapelet - 50 metres,1900,1900,S
16,Archery,Archery Mens Au Cordon Dore - 33 metres,1900,1900,S
17,Archery,Archery Mens Au Cordon Dore - 50 metres,1900,1900,S
18,Archery,Archery Mens Championnat Du Monde,1900,1900,S
19,Archery,Archery Mens Continental Style,1908,1908,S
20,Archery,Archery Mens Double American Round,1904,1904,S
21,Archery,Archery Mens Double York Round,1904,1908,S
22,Archery,Archery Mens Individual,1972,2016,S
23,Archery,Archery Mens Pole Archery - Large Birds - Individual,1920,1920,S
24,Archery,Archery Mens Pole Archery - Large Birds - Team,1920,1920,S
25,Archery,Archery Mens Pole Archery - Small Birds - Individual,1920,1920,S
26,Archery,Archery Mens Pole Archery - Small Birds - Team,1920,1920,S
27,Archery,Archery Mens Sur La Perche a La Herse,1900,1900,S
28,Archery,Archery Mens Sur La Perche a La Pyramide,1900,1900,S
29,Archery,Archery Mens Target Archery - 28 metres - Individual,1920,1920,S
30,Archery,Archery Mens Target Archery - 28 metres - Team,1920,1920,S
31,Archery,Archery Mens Target Archery - 33 metres - Individual,1920,1920,S
32,Archery,Archery Mens Target Archery - 33 metres - Team,1920,1920,S
33,Archery,Archery Mens Target Archery - 50 metres - Individual,1920,1920,S
